Model;GEM2000Plus;Serial No;GM10283
Date downloaded;13/11/2019 07:27:08;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;14/5/2015
Next service due;17/11/2015
Date of last Gas Check;14/5/2015
Security code;[61D01C19]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;CO;H2S;H2;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;ppm;ppm;ppm;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;m
"M2S05P08";12/11/2019 08:06:34;57,9;41,4;0,6;0,1;">>>>";1000;0;10;"LOW";-115,3;">>>>";0;0;0;-119,5;">>>>";0;0;0;"POZO ABIERTO";;1,4;0,0;;
"M2S07P07";12/11/2019 08:12:01;53;38,4;3,6;5;">>>>";1000;0;8;"LOW";-139,1;">>>>";8;0;0;-139,8;">>>>";0;0;0;"POZO ABIERTO";;1,38;0,0;;
"M2S15P25";12/11/2019 08:28:57;57,9;41,8;0,1;0,2;">>>>";997;0;45;"LOW";-43,1;">>>>";0;0;0;-17,3;17,767;0;0;0;"POZO ABIERTO";;1,39;0,0;;
"M2S15P25";12/11/2019 08:30:14;57,9;41,8;0,1;0,2;">>>>";997;0;45;"LOW";-25;25,397;0;0;0;-17,3;17,767;0;0;0;"POZO ABIERTO";;1,39;0,0;;
"M2S15P24";12/11/2019 08:33:13;51,2;37,4;2,8;8,6;">>>>";997;0;14;"LOW";-29,4;10,151;0;0;0;-0,9;0,933;0;0;0;"POZO ABIERTO";;1,37;0,0;;
"M2S15P04";12/11/2019 08:35:11;57,6;42,3;0;0,1;">>>>";997;0;26;"LOW";-36,6;">>>>";0;0;0;1,3;-5,53;0;0;0;"POZO ABIERTO";;1,36;0,1;;
"M2S15P09";12/11/2019 08:37:13;56,1;43,8;0;0,1;">>>>";998;0;26;"LOW";-125;">>>>";0;0;0;-122,7;">>>>";0;0;0;"POZO ABIERTO";;1,28;0,1;;
"M2S15P13";12/11/2019 08:39:27;53,8;37,4;1,5;7,3;">>>>";998;0;22;"LOW";-122,1;">>>>";0;0;0;-114,6;">>>>";0;0;0;"POZO ABIERTO";;1,44;1,63;;
"M2S15P08";12/11/2019 08:41:39;56;38,9;1,3;3,8;">>>>";998;0;5;"LOW";-125,3;">>>>";0;0;0;-120,6;">>>>";0;0;0;"POZO ABIERTO";;1,44;0,0;;
"M2S15P03";12/11/2019 08:43:42;56;43,9;0;0,1;">>>>";998;0;26;"LOW";-16,2;16,291;0;0;0;-2,3;2,868;0;0;0;"POZO ABIERTO";;1,28;0,1;;
