Model,GEM2000Plus,Serial No,GM10283
Date downloaded,2/7/2020 3:06:51 PM,Software Version,1.10.4
Computer & User Info,BRA000139,lmedrano
Date of last user calibration,1/24/2020
Date of last factory calibration,5/14/2015
Next service due,11/17/2015
Date of last Gas Check,5/14/2015
Security code,[EB46200F]

ID,DATE,CH4,CO2,O2,BALANCE,CH4 %LEL,BARO,CO,H2S,H2,ADJ-SP,ADJ-DP,ADJ-TEMP,ADJ-FLOW,ADJ-POWER,INI-SP,INI-DP,INI-TEMP,INI-FLOW,INI-POWER,CHOSEN 1,CH4/CO2,Res Nitrogen,LOCATION DIFFERENCE
,,%,%,%,%,%,mb,ppm,ppm,ppm,mb,mb,DegC,m3/h,kW,mb,mb,DegC,m3/h,kW,,%,%,m
"M1S10K01",2/7/2020 8:45:33 AM,53.8,39.2,1.4,5.6,">>>>",997,0,9,"LOW",-15.2,15.383,0,4110.6,13571,-15.7,17.202,0,4345.7,18095,,1.37,0.31,,
"M1S10P37",2/7/2020 9:14:15 AM,57.2,42.7,0,0.1,">>>>",998,0,15,"LOW",-0.5,15.656,0,0,0,0.4,14.336,0,0,0,"20%",1.34,0.1,,
"M1S10P39",2/7/2020 9:16:09 AM,57,42.9,0,0.1,">>>>",998,0,22,"LOW",-1.2,17.287,0,0,0,0.1,15.598,0,0,0,"20%",1.33,0.1,,
"M1S10P23",2/7/2020 9:42:17 AM,56.3,43.5,0,0.2,">>>>",1000,0,17,"LOW",-0.9,31.258,0,0,0,0.9,29.156,0,0,0,"20%",1.29,0.2,,
"M1S10P38",2/7/2020 9:44:39 AM,56.2,43.7,0,0.1,">>>>",999,0,15,"LOW",-16.8,">>>>",0,0,0,-17,">>>>",0,0,0,"50%",1.29,0.1,,
"M1S10P25",2/7/2020 9:47:08 AM,56.5,43.4,0,0.1,">>>>",999,0,15,"LOW",-0.9,32.38,0,0,0,0.9,30.488,0,0,0,"20%",1.3,0.1,,
"M1S10P39",2/7/2020 9:49:12 AM,56.6,43,0.3,0.1,">>>>",999,0,16,"LOW",-2,">>>>",0,0,0,-1,">>>>",0,0,0,"20%",1.32,0.0,,
"M1S10P40",2/7/2020 9:51:29 AM,56.4,42.9,0.5,0.2,">>>>",999,0,10,"LOW",-10.6,">>>>",0,0,0,-10,">>>>",0,0,0,"30%",1.31,0.0,,
"M1S10P26",2/7/2020 9:54:17 AM,53.2,38.7,1.9,6.2,">>>>",999,0,9,"LOW",-1.8,">>>>",0,0,0,-1.4,">>>>",0,0,0,"20%",1.37,0.0,,
"M1S10P42",2/7/2020 9:56:03 AM,57.2,42.3,0.4,0.1,">>>>",999,0,19,"LOW",-1,">>>>",0,0,0,0,">>>>",0,0,0,"20%",1.35,0.0,,
"M1S10P43",2/7/2020 9:57:42 AM,57.6,42.2,0,0.2,">>>>",999,0,33,"LOW",-0.4,">>>>",0,0,0,0,">>>>",0,0,0,"20%",1.36,0.2,,
"M1S10P43",2/7/2020 9:59:30 AM,28.1,24.8,6.6,40.5,">>>>",999,0,11,"LOW",-0.1,">>>>",0,0,0,-0.2,">>>>",0,0,0,"0%",1.13,15.55,,
"M1S10P29",2/7/2020 10:01:36 AM,56.4,43.1,0.4,0.1,">>>>",999,0,15,"LOW",-0.9,">>>>",0,0,0,-0.1,">>>>",0,0,0,"20%",1.31,0.0,,
"M1S10P45",2/7/2020 10:03:12 AM,56.8,42.9,0.2,0.1,">>>>",999,0,19,"LOW",-0.6,">>>>",0,0,0,0,">>>>",0,0,0,"20%",1.32,0.0,,
"M1S10P44",2/7/2020 10:05:11 AM,9.2,9.5,12.6,68.7,">>>>",999,0,15,"LOW",0,">>>>",0,0,0,-0.6,">>>>",0,0,0,"0%",0.97,21.07,,
"M1S10P32",2/7/2020 10:06:56 AM,55.6,43.6,0.7,0.1,">>>>",999,0,56,"LOW",-0.1,">>>>",0,0,0,0,">>>>",0,0,0,"20%",1.28,0.0,,
"M1S10P32",2/7/2020 10:08:17 AM,16.1,15.6,10.2,58.1,">>>>",999,0,33,"LOW",0,">>>>",0,0,0,-0.1,">>>>",0,0,0,"0%",1.03,19.54,,
"M1S10P24",2/7/2020 10:11:25 AM,14.9,8.8,14.9,61.4,">>>>",999,0,12,"LOW",0,">>>>",0,0,0,-1.2,">>>>",0,0,0,"0%",1.69,5.08,,
"M1S10P31",2/7/2020 10:13:27 AM,36.6,27.5,7.2,28.7,">>>>",999,0,4,"LOW",-0.1,">>>>",0,0,0,-1.1,">>>>",0,0,0,"0%",1.33,1.48,,
"M1S10P41",2/7/2020 10:15:06 AM,56,43.3,0.5,0.2,">>>>",999,0,18,"LOW",-0.1,">>>>",0,0,0,0.5,">>>>",0,0,0,"20%",1.29,0.0,,
"M1S10P30",2/7/2020 10:19:11 AM,56.4,43.5,0,0.1,">>>>",999,0,22,"LOW",-0.7,">>>>",0,0,0,19,16.203,0,0,0,"20%",1.3,0.1,,
"M1S10P24",2/7/2020 10:21:45 AM,34.8,25,7.3,32.9,">>>>",999,0,11,"LOW",0,">>>>",0,0,0,-0.1,">>>>",0,0,0,"0%",1.39,5.31,,
