Model;GEM2000;Serial No;GM13813
Date downloaded;13/11/2019 07:25:31;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;30/1/2013
Next service due;2/8/2013
Date of last Gas Check;30/1/2013
Security code;[06110599]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CH4/CO2;Res Nitrogen;LAT;LONG;ALTITUDE;UTC;SATSUSED;STATUS;HDOP;HERROR;VERROR;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;%;%;;;m;;;;;m;m;m
"M2S20P10";12/11/2019 13:31:33;57,1;42,6;0,2;0,1;">>>>";1005;-75,1;">>>>";0;0;0;-75,2;">>>>";0;0;0;"POZO ABIERTO";1,34;0,0;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S20P10";12/11/2019 13:35:12;57,1;42,6;0,2;0,1;">>>>";1005;-74,9;">>>>";0;0;0;-75,2;">>>>";0;0;0;"POZO ABIERTO";1,34;0,0;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S16P13";12/11/2019 13:45:06;1,5;10,1;13,5;74,9;30;1005;-77,6;">>>>";0;0;0;-80;">>>>";0;0;0;"POZO CERRADO";0,15;23,87;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S16P05";12/11/2019 13:47:05;57,7;41,4;0,7;0,2;">>>>";1005;-127,2;">>>>";0;0;0;-131,3;">>>>";0;0;0;"POZO ABIERTO";1,39;0,0;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S16P03";12/11/2019 13:48:58;55,9;43,9;0,1;0,1;">>>>";1005;-132,1;">>>>";0;0;0;-126,3;">>>>";0;0;0;"POZO ABIERTO";1,27;0,0;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S16P30";12/11/2019 13:50:06;0,7;0;17,6;81,7;14;1005;0;0,035;0;0;0;0;0,04;0;0;0;"POZO CERRADO";">>>>";15,17;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S20P11";12/11/2019 13:52:10;57,9;38,6;1,3;2,2;">>>>";1005;-124,3;">>>>";0;0;0;-125,7;">>>>";0;0;0;"POZO ABIERTO";1,5;0,0;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S16P32";12/11/2019 13:56:27;49,9;35,2;2;12,9;">>>>";1005;-130,8;">>>>";0;0;0;-124,9;">>>>";0;0;0;"POZO ABIERTO";1,42;5,34;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2S17P12";12/11/2019 14:00:36;55,2;39,1;1,2;4,5;">>>>";1005;-126;">>>>";0;0;0;-125,8;">>>>";0;0;0;"POZO ABIERTO";1,41;0,0;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
"M2MGSE17";12/11/2019 14:02:35;55;39,7;1;4,3;">>>>";1005;-120,1;">>>>";0;0;0;-127,6;">>>>";0;0;0;"POZO ABIERTO";1,39;0,52;0;0;0;1/1/2000 00:00:00;0;0;0;0;0;N/A;
