
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2H00K01";6/5/2020 07:52:21;57,2;40,4;1,2;1,2;">>>>";1027;;;;"N/A_";;71;;;;;-44,29;">>>>";0;;"N/A";-46,68;">>>>";0;;"N/A";;;1,42;0,0;;;;N/A;
"M1H01K01";6/5/2020 08:07:44;51,1;36,7;2,4;9,8;">>>>";1026;;;;"N/A_";;47;;;;;-74,71;0,532;0;1948,7;9999;-74,66;0,542;0;1966,9;9999;;;1,39;0,73;;;;N/A;
"M1H01K02";6/5/2020 08:18:39;49,5;36,6;2,2;11,7;">>>>";1026;;;;"N/A_";;55;;;;;-70,7;0,117;0;911,3;4720,7;-70,32;0,115;0;904,9;4687,9;;;1,35;3,38;;;;0;
"M1H02K01";6/5/2020 08:22:10;52;37,3;2,4;8,3;">>>>";1026;;;;"N/A_";;45;;;;;-70,53;0,266;0;1381,4;7523,4;-70,37;0,265;0;1377,2;7500,7;;;1,39;0,0;;;;N/A;
"M2H01K01";6/5/2020 08:35:23;55,3;41,2;1;2,5;">>>>";1026;;;;"N/A_";;29;;;;;;;;;;;;;;;;;1,34;0,0;;;;N/A;
"M2H01K01";6/5/2020 08:35:28;55,3;41,2;1;2,5;">>>>";1026;;;;"N/A_";;29;;;;;;;;;;;;;;;;;1,34;0,0;;;;N/A;
"M2H01K01";6/5/2020 08:37:27;55,6;41,3;1;2,1;">>>>";1026;;;;"N/A_";;28;;;;;-209,6;0,366;0;1491,6;8674,5;-211,46;0,357;0;1471,2;8555,8;;;1,35;0,0;;;;N/A;
"M2H02K01";6/5/2020 08:41:19;56,5;41,4;0,9;1,2;">>>>";1027;;;;"N/A_";;94;;;;;-206,55;0,81;0;2227,2;9999;-207,29;0,816;0;2234,2;9999;;;1,36;0,0;;;;N/A;
"M2H03K01";6/5/2020 08:45:24;56,5;40,7;1,1;1,7;">>>>";1027;;;;"N/A_";;96;;;;;-205,85;1,276;0;2800,8;9999;-206,26;1,295;0;2824,7;9999;;;1,39;0,0;;;;N/A;
"M1S14K01";6/5/2020 09:22:36;54,1;38;1,6;6,3;">>>>";1026;;;;"N/A_";;78;;;;;-95,85;0,068;0;262,7;1487,4;-99,69;0,074;0;273,1;1546,4;;;1,42;0,25;;;;N/A;
