
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2H00K01";15/4/2020 07:53:38;53,7;38,5;1,9;5,9;">>>>";1019;;;;"N/A_";;52;;;;;-16,26;15,239;0;9999;9999;-16,11;15,043;0;9999;9999;;;1,39;0,0;;;;N/A;
"M1H01K01";15/4/2020 08:08:59;52,2;37,6;2,1;8,1;">>>>";1019;;;;"N/A_";;43;;;;;-50,75;0,406;0;1723,5;9412,4;-50,46;0,408;0;1728,9;9442,2;;;1,39;0,16;;;;N/A;
"M1H01K02";15/4/2020 08:14:28;50,4;36,7;2,2;10,7;">>>>";1018;;;;"N/A_";;53;;;;;-48,7;0,06;0;659,8;3478,3;-48,72;0,061;0;668,8;3526,2;;;1,37;2,38;;;;N/A;
"M1H02K01";15/4/2020 08:17:52;53,6;38,2;2;6,2;">>>>";1018;;;;"N/A_";;41;;;;;-49,13;0,138;0;1007,2;5650,8;-49,07;0,14;0;1013,2;5684,7;;;1,4;0,0;;;;N/A;
"M2H01K01";15/4/2020 08:30:40;53,6;39,9;1,5;5;">>>>";1019;;;;"N/A_";;27;;;;;-196,4;0,475;0;1712,5;9612,4;-198,01;0,411;0;1590,4;8927,3;;;1,34;0,0;;;;N/A;
"M2H02K01";15/4/2020 08:34:45;54,2;40,1;1,5;4,2;">>>>";1019;;;;"N/A_";;67;;;;;-190,66;0,737;0;2142,3;9999;-188,75;0,731;0;2132,9;9999;;;1,35;0,0;;;;N/A;
"M2H03K01";15/4/2020 08:39:12;53,5;38,7;1,9;5,9;">>>>";1019;;;;"N/A_";;68;;;;;-188,04;1,318;0;2874,5;9999;-186,91;1,262;0;2817,6;9999;;;1,38;0,0;;;;N/A;
"M2S04K01";15/4/2020 08:46:03;60,4;42,5;0,2;0;">>>>";1017;;;;"N/A_";;65;;;;;-181,08;0,031;0;168,3;1064,1;-183,53;0,026;0;156,2;987,3;;;1,42;0,0;;;;N/A;
"M2S16K01";15/4/2020 08:54:33;50,6;36,7;2,5;10,2;">>>>";1015;;;;"N/A_";;111;;;;;-141,79;0,945;0;951,7;5043,5;-141,47;0,943;0;948,1;5040;;;1,38;0,75;;;;N/A;
"M2S16P19";15/4/2020 08:59:47;39,4;30,3;4,5;25,8;">>>>";1015;;;;"N/A_";;174;;;;;-9,99;10,162;0;0;0;-119,26;">>>>";0;0;0;"20%";;1,3;8,79;;;;N/A;
"M2S16P15";15/4/2020 09:02:34;61,5;42,7;0,1;0;">>>>";1015;;;;"N/A_";;190;;;;;-51,03;">>>>";0;0;0;-27,63;">>>>";0;0;0;"30%";;1,44;0,0;;;;N/A;
"M2S16P18";15/4/2020 09:05:30;61,9;43,3;0;0;">>>>";1015;;;;"N/A_";;207;;;;;-6,14;4,963;0;0;0;14,89;-11,183;0;0;0;"20%";;1,43;0,0;;;;N/A;
"M2S16P03";15/4/2020 09:10:41;48,9;37,5;0,8;12,8;">>>>";1015;;;;"N/A_";;72;;;;;-42,4;">>>>";0;0;0;-16,26;15,633;0;0;0;"20%";;1,3;9,78;;;;N/A;
"M2S16P06";15/4/2020 09:13:02;58,1;40,7;0,8;0,4;">>>>";1015;;;;"N/A_";;64;;;;;-33,6;">>>>";0;0;0;-27,63;">>>>";0;0;0;"20%";;1,43;0,0;;;;N/A;
"M2S16P10";15/4/2020 09:15:50;27,2;20,5;9,3;43;">>>>";1015;;;;"N/A_";;12;;;;;-5,64;3,904;0;0;0;-38,12;">>>>";0;0;0;"20%";;1,33;7,85;;;;N/A;
"M2S16P16";15/4/2020 09:19:10;62,3;43,5;0;0;">>>>";1015;;;;"N/A_";;272;;;;;-11,2;19,218;0;0;0;8,12;-7,863;0;0;0;"20%";;1,43;0,0;;;;N/A;
"M2S16P17";15/4/2020 09:22:11;58,9;41,2;0,8;0;">>>>";1015;;;;"N/A_";;176;;;;;-105,5;">>>>";0;0;0;-81,12;">>>>";0;0;0;"50%";;1,43;0,0;;;;N/A;
"M2S16P22";15/4/2020 09:24:28;50,6;36,9;2,4;10,1;">>>>";1015;;;;"N/A_";;22;;;;;-115,91;">>>>";0;0;0;-122,35;">>>>";0;0;0;"50%";;1,37;1,03;;;;N/A;
"M2S16P14";15/4/2020 09:26:49;55,7;39;1,6;3,7;">>>>";1015;;;;"N/A_";;106;;;;;-85,21;">>>>";0;0;0;-82,44;">>>>";0;0;"N/A";"50%";;1,43;0,0;;;;N/A;
"M2S16P07";15/4/2020 09:29:19;60,4;42;0,5;0;">>>>";1015;;;;"N/A_";;216;;;;;-49,46;">>>>";0;0;0;-37,02;">>>>";0;0;0;"30%";;1,44;0,0;;;;N/A;
"M2S16P26";15/4/2020 09:32:18;51,8;36,4;2,7;9,1;">>>>";1015;;;;"N/A_";;264;;;;;-63,57;">>>>";0;0;0;-99,86;">>>>";0;0;0;"30%";;1,42;0,0;;;;N/A;
"M2S16P11";15/4/2020 09:35:12;62,7;42,8;0;0;">>>>";1015;;;;"N/A_";;192;;;;;-22,98;22,038;0;0;0;-13,65;12,213;0;0;0;"20%";;1,46;0,0;;;;N/A;
"M2S16P12";15/4/2020 09:37:37;51,4;38,6;1,2;8,8;">>>>";1015;;;;"N/A_";;42;;;;;-91,49;">>>>";0;0;0;-91,17;">>>>";0;0;0;"50%";;1,33;4,26;;;;N/A;
"M2S16P20";15/4/2020 09:40:29;62,9;43,7;0;0;">>>>";1015;;;;"N/A_";;294;;;;;-23,11;23,068;0;0;0;-6,43;5,965;0;0;0;"20%";;1,44;0,0;;;;N/A;
"M2S16P04";15/4/2020 09:44:44;43,7;32,5;4,9;18,9;">>>>";1015;;;;"N/A_";;44;;;;;-15;14,334;0;0;0;-33,16;">>>>";0;0;0;"20%";;1,34;0,38;;;;N/A;
"M2S16P13";15/4/2020 09:48:18;62,9;44,5;0;0;">>>>";1015;;;;"N/A_";;499;;;;;-12,7;12,438;0;0;0;0,59;-0,631;0;0;0;"20%";;1,41;0,0;;;;N/A;
"M2S16P23";15/4/2020 09:51:43;44,9;32,9;4,8;17,4;">>>>";1015;;;;"N/A_";;71;;;;;-19,65;17,985;0;0;0;-69,23;">>>>";0;0;0;"20%";;1,36;0,0;;;;N/A;
"M2S16P21";15/4/2020 09:54:39;54,7;38,7;1,8;4,8;">>>>";1015;;;;"N/A_";;100;;;;;-38,83;">>>>";0;0;0;-18,01;16,868;0;0;0;"20%";;1,41;0,0;;;;N/A;
"M2S16P09";15/4/2020 09:57:25;62,4;45;0;0;">>>>";1015;;;;"N/A_";;243;;;;;-2,95;2,662;0;0;0;-2,38;-0,194;0;0;0;"20%";;1,39;0,0;;;;N/A;
"M2S16P05";15/4/2020 10:00:24;61,7;43,5;0,1;0;">>>>";1015;;;;"N/A_";;191;;;;;-22,48;21,7;0;0;0;-14,27;13,587;0;0;0;"20%";;1,42;0,0;;;;N/A;
"M2S16P24";15/4/2020 10:03:12;62,9;44,4;0;0;">>>>";1015;;;;"N/A_";;305;;;;;-7,71;7,293;0;0;0;0,3;-0,464;0;0;0;"20%";;1,42;0,0;;;;N/A;
"M2S16P25";15/4/2020 10:04:34;63,2;45,1;0;0;">>>>";1015;;;;"N/A_";;292;;;;;-5;4,755;0;0;0;-3,45;2,209;0;0;0;"20%";;1,4;0,0;;;;N/A;
"M2S16P08";15/4/2020 10:07:26;63;43;0;0;">>>>";1015;;;;"N/A_";;180;;;;;-9,54;4,906;0;0;0;-0,93;1,238;0;0;0;"20%";;1,47;0,0;;;;N/A;
"M2S16P02";15/4/2020 10:11:51;43,7;33,6;3,4;19,3;">>>>";1015;;;;"N/A_";;51;;;;;-15,13;14,139;0;0;0;-58,05;">>>>";0;0;0;"20%";;1,3;6,45;;;;N/A;
"M2S16P01";15/4/2020 10:14:11;56,3;40,8;0,6;2,3;">>>>";1015;;;;"N/A_";;171;;;;;-42,32;">>>>";0;0;0;-36,84;">>>>";0;0;0;"20%";;1,38;0,03;;;;N/A;
