
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;;;;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2H01K01";18/12/2019 07:30:37;53,3;39,7;1,2;5,8;">>>>";1001;;;;;;1;;;;;-175,8;">>>>";0;3276,5;"N/A";-177,9;">>>>";0;3276,5;"N/A";;;1,34;1,26;;;;;
"M2H02K01";18/12/2019 07:32:11;53,7;39,9;1,2;5,2;">>>>";1001;;;;;;6;;;;;-171,8;">>>>";0;3276,5;"N/A";-171,6;">>>>";0;3276,5;"N/A";;;1,35;0,66;;;;;
"M2H03K01";18/12/2019 07:33:39;53,1;38,5;1,7;6,7;">>>>";1001;;;;;;3;;;;;-171,9;">>>>";0;3276,5;"N/A";-171,9;">>>>";0;3276,5;"N/A";;;1,38;0,27;;;;;
"M2S16K01";18/12/2019 07:44:20;52,7;38,2;1,6;7,5;">>>>";996;;;;;;9;;;;;-104;">>>>";0;3276,5;"N/A";-111,6;">>>>";0;3276,5;"N/A";;;1,38;1,45;;;;;
"M2S16P01";18/12/2019 07:46:17;56,7;43,2;0;0,1;">>>>";997;;;;;;12;;;;;-24,8;16,88;0;0;0;-20,7;11,468;0;0;0;"20%";;1,31;0,1;;;;;
"M2S16P02";18/12/2019 07:48:11;56,6;43,3;0;0,1;">>>>";997;;;;;;22;;;;;-38,9;">>>>";0;0;0;-16,9;2,007;0;0;0;"30%";;1,31;0,1;;;;;
"M2S16P08";18/12/2019 07:50:32;56,8;39,9;0,9;2,4;">>>>";997;;;;;;7;;;;;-14,3;-0,117;0;0;0;-7,6;-0,912;0;0;0;"20%";;1,42;0,0;;;;;
"M2S16P24";18/12/2019 07:54:56;60,2;38,7;0,6;0,5;">>>>";997;;;;;;0;;;;;-44,5;">>>>";0;0;0;-45,1;">>>>";0;0;0;"30%";;1,56;0,0;;;;;
"M2S16P18";18/12/2019 07:56:28;46,7;34,3;3,2;15,8;">>>>";997;;;;;;5;;;;;-28,1;18,3;0;0;0;-45,4;">>>>";0;0;0;"20%";;1,36;3,7;;;;;
"M2S16P05";18/12/2019 07:57:59;52;38,3;1,8;7,9;">>>>";997;;;;;;10;;;;;-103,8;">>>>";0;0;0;-100,3;">>>>";0;0;0;"100%";;1,36;1,1;;;;;
"M2S16P09";18/12/2019 07:59:27;52,1;37,8;2,1;8;">>>>";997;;;;;;5;;;;;-54;">>>>";0;0;0;-70,2;">>>>";0;0;0;"30%";;1,38;0,06;;;;;
"M2S16P21";18/12/2019 08:00:57;56,8;43,1;0;0,1;">>>>";997;;;;;;10;;;;;-37,7;30,302;0;0;0;-21;13,728;0;0;0;"20%";;1,32;0,1;;;;;
"M2S16P23";18/12/2019 08:02:18;42,4;31,1;5;21,5;">>>>";997;;;;;;5;;;;;-22,5;16,716;0;0;0;-37,9;">>>>";0;0;0;"20%";;1,36;2,6;;;;;
"M2S16P13";18/12/2019 08:05:18;56,6;43,3;0;0,1;">>>>";997;;;;;;15;;;;;-17,3;9,312;0;0;0;-14,4;7,454;0;0;0;"20%";;1,31;0,1;;;;;
"M2S16P04";18/12/2019 08:07:10;53,4;38,5;2;6,1;">>>>";997;;;;;;5;;;;;-31,7;23,634;0;0;0;-16,9;11,938;0;0;0;"20%";;1,39;0,0;;;;;
"M2S16P04";18/12/2019 08:07:32;53,4;38,5;2;6,1;">>>>";997;;;;;;5;;;;;-27,8;22,584;0;0;0;-16,9;11,938;0;0;0;"20%";;1,39;0,0;;;;;
"M2S16P20";18/12/2019 08:08:58;52,4;37,8;2;7,8;">>>>";997;;;;;;1;;;;;-20,2;13,241;0;0;0;-31,7;24,714;0;0;0;"20%";;1,39;0,24;;;;;
"M2S16P12";18/12/2019 08:10:17;55,5;40,4;0,3;3,8;">>>>";997;;;;;;1;;;;;-109,8;">>>>";0;0;0;-108,2;">>>>";0;0;0;"100%";;1,37;2,67;;;;;
"M2S16P11";18/12/2019 08:11:55;57,3;42,6;0;0,1;">>>>";997;;;;;;15;;;;;-23,4;16,993;0;0;0;-23,1;18;0;0;0;"20%";;1,35;0,1;;;;;
"M2S16P26";18/12/2019 08:14:37;52,2;36,3;2,3;9,2;">>>>";997;;;;;;2;;;;;-32,8;29,287;0;0;0;-32,9;29,066;0;0;0;"20%";;1,44;0,51;;;;;
"M2S16P19";18/12/2019 08:15:59;57,2;42,7;0;0,1;">>>>";997;;;;;;25;;;;;-25,4;22,863;0;0;0;-19,3;15,676;0;0;0;"20%";;1,34;0,1;;;;;
"M2S16P07";18/12/2019 08:17:19;57,6;39,7;1;1,7;">>>>";997;;;;;;10;;;;;-32,6;27,744;0;0;0;-32,5;31,744;0;0;0;"30%";;1,45;0,0;;;;;
"M2S16P14";18/12/2019 08:18:45;58,4;41;0,5;0,1;">>>>";997;;;;;;11;;;;;-35,6;32,215;0;0;0;-31,3;28,067;0;0;0;"30%";;1,42;0,0;;;;;
"M2S16P22";18/12/2019 08:20:11;55,5;39;1,1;4,4;">>>>";997;;;;;;2;;;;;-113,7;">>>>";0;0;0;-104,1;">>>>";0;0;0;"100%";;1,42;0,24;;;;;
"M2S16P17";18/12/2019 08:21:28;58,2;41,3;0,3;0,2;">>>>";997;;;;;;13;;;;;-105,5;">>>>";0;0;0;-107,6;">>>>";0;0;0;"100%";;1,41;0,0;;;;;
"M2S16P15";18/12/2019 08:22:53;57,3;42,6;0;0,1;">>>>";997;;;;;;14;;;;;-77,4;">>>>";0;0;0;-73,7;">>>>";0;0;0;"50%";;1,35;0,1;;;;;
"M2S16P10";18/12/2019 08:24:24;47,1;35,1;2,5;15,3;">>>>";997;;;;;;2;;;;;-11,8;9,922;0;0;0;-39,4;29,741;0;0;0;"20%";;1,34;5,85;;;;;
"M2S16P16";18/12/2019 08:25:51;57,6;42,3;0;0,1;">>>>";997;;;;;;22;;;;;-51,3;">>>>";0;0;0;-40,7;">>>>";0;0;0;"30%";;1,36;0,1;;;;;
"M2S16P06";18/12/2019 08:27:17;57,2;42,7;0;0,1;">>>>";997;;;;;;14;;;;;-22,9;25,201;0;0;0;-19,5;18,429;0;0;0;"20%";;1,34;0,1;;;;;
"M2S16P03";18/12/2019 08:28:37;57,8;40;0,7;1,5;">>>>";997;;;;;;3;;;;;-20,7;26,231;0;0;0;-11,3;8,988;0;0;0;"20%";;1,45;0,0;;;;;
"M2S16K01";18/12/2019 08:30:13;57,3;40,1;1;1,6;">>>>";997;;;;;;9;;;;;-98,7;">>>>";0;3276,5;"N/A";-109,1;">>>>";0;3276,5;"N/A";;;1,43;0,0;;;;;
"M2S15K01";18/12/2019 08:33:14;52,2;37,8;1,9;8,1;">>>>";997;;;;;;8;;;;;-119;">>>>";0;3276,5;"N/A";-126,9;">>>>";0;3276,5;"N/A";;;1,38;0,92;;;;;
"M1H01K01";18/12/2019 14:49:44;49,8;36,9;2,2;11,1;">>>>";999;;;;;;2;;;;;-64,1;">>>>";0;3276,5;"N/A";-63,7;">>>>";0;3276,5;"N/A";;;1,35;2,78;;;;;
"M2H00K01";19/12/2019 06:38:58;53,8;39,1;1,4;5,7;">>>>";999;;;;;;5;;;;;-13,2;-0,181;0;3276,5;"N/A";-13,3;-0,129;0;3276,5;"N/A";;;1,38;0,41;;;;;
"M1H01K01";19/12/2019 06:46:58;43,7;33,8;3,5;19;">>>>";999;;;;;;3;;;;;-52,8;">>>>";0;3276,5;"N/A";-52,4;">>>>";0;3276,5;"N/A";;;1,29;5,77;;;;;
"M2H01K01";19/12/2019 07:05:46;53,6;39,8;1,4;5,2;">>>>";999;;;;;;1;;;;;-177,9;">>>>";0;3276,5;"N/A";-178,3;">>>>";0;3276,5;"N/A";;;1,35;0,0;;;;;
"M2H02K01";19/12/2019 07:07:24;54,5;40,3;1,2;4;">>>>";999;;;;;;7;;;;;-176,8;">>>>";0;3276,5;"N/A";-175,5;">>>>";0;3276,5;"N/A";;;1,35;0,0;;;;;
"M2H03K01";19/12/2019 07:08:55;54,2;39,5;1,4;4,9;">>>>";999;;;;;;3;;;;;-172,8;">>>>";0;3276,5;"N/A";-172,9;">>>>";0;3276,5;"N/A";;;1,37;0,0;;;;;
